iter	Accuracy	MultiClass
0	0.8505747126	1.265203104
1	0.8801313629	1.164440481
2	0.8916256158	1.070243855
3	0.8916256158	0.9888835259
4	0.894909688	0.9176617938
5	0.8850574713	0.8640180197
6	0.8883415435	0.8040273305
7	0.8916256158	0.759913955
8	0.8883415435	0.7236867444
9	0.8899835796	0.685824811
10	0.8932676519	0.6548913116
11	0.894909688	0.6205822899
12	0.894909688	0.5925194555
13	0.8981937603	0.5676792655
14	0.894909688	0.5446450749
15	0.8998357964	0.5248112822
16	0.9014778325	0.5004334251
17	0.9047619048	0.4830013659
18	0.9064039409	0.4635963881
19	0.908045977	0.4498002364
20	0.9129720854	0.4327703297
21	0.9096880131	0.4175192769
22	0.9178981938	0.4063493095
23	0.9178981938	0.3945883369
24	0.9178981938	0.385447128
25	0.9162561576	0.373636766
26	0.9162561576	0.3625493359
27	0.9195402299	0.3518020698
28	0.9228243021	0.3434521205
29	0.9228243021	0.3346413562
30	0.9310344828	0.3253914988
31	0.9376026273	0.3175264189
32	0.9392446634	0.309125452
33	0.9425287356	0.3001254679
34	0.9425287356	0.2933200921
35	0.9425287356	0.2861128344
36	0.9441707718	0.2805513711
37	0.9458128079	0.2748137012
38	0.9458128079	0.2692084388
39	0.9490968801	0.2632273527
40	0.9523809524	0.2571994966
41	0.9507389163	0.2516737958
42	0.9556650246	0.2457331819
43	0.9540229885	0.2415596188
44	0.9540229885	0.2369459437
45	0.9540229885	0.2327013578
46	0.9589490969	0.2289472681
47	0.9622331691	0.2242083298
48	0.9622331691	0.2182697966
49	0.9655172414	0.2136623892
50	0.9655172414	0.2102380654
51	0.9704433498	0.2062418299
52	0.9704433498	0.2037607414
53	0.9720853859	0.2002946256
54	0.9753694581	0.1980591498
55	0.9753694581	0.1955149154
56	0.9753694581	0.1923382904
57	0.9770114943	0.1895339974
58	0.9770114943	0.1867171095
59	0.9770114943	0.1837938054
60	0.9770114943	0.180533932
61	0.9770114943	0.1776376033
62	0.9770114943	0.1750704975
63	0.9786535304	0.1725530061
64	0.9786535304	0.1701693793
65	0.9786535304	0.1675553352
66	0.9802955665	0.1651849954
67	0.9835796388	0.1624417785
68	0.9819376026	0.1593117672
69	0.9835796388	0.1567961252
70	0.9852216749	0.1544523164
71	0.9852216749	0.1516806046
72	0.9885057471	0.1488775128
73	0.9885057471	0.1468429392
74	0.9885057471	0.1450795742
75	0.9901477833	0.1433690444
76	0.9917898194	0.141450526
77	0.9917898194	0.1397445351
78	0.9917898194	0.1384794887
79	0.9917898194	0.1368459563
80	0.9917898194	0.1348091471
81	0.9917898194	0.1326910721
82	0.9917898194	0.1312485993
83	0.9934318555	0.1293866468
84	0.9917898194	0.127652581
85	0.9917898194	0.1260784795
86	0.9917898194	0.1242556259
87	0.9917898194	0.1225465329
88	0.9934318555	0.1209819786
89	0.9934318555	0.1199709057
90	0.9934318555	0.118446512
91	0.9934318555	0.1168297159
92	0.9934318555	0.115133309
93	0.9950738916	0.1139777048
94	0.9950738916	0.1126162995
95	0.9950738916	0.1113378244
96	0.9950738916	0.1104031845
97	0.9950738916	0.1086310141
98	0.9950738916	0.1072815021
99	0.9950738916	0.1060413555
100	0.9950738916	0.1047359766
101	0.9950738916	0.103418419
102	0.9950738916	0.1022458261
103	0.9950738916	0.1010593397
104	0.9950738916	0.09963676526
105	0.9950738916	0.09840183936
106	0.9950738916	0.0973419268
107	0.9950738916	0.09613320034
108	0.9950738916	0.09516015507
109	0.9950738916	0.09408233939
110	0.9950738916	0.09286646526
111	0.9950738916	0.0917615726
112	0.9950738916	0.09102911258
113	0.9950738916	0.09016839312
114	0.9950738916	0.08925496392
115	0.9950738916	0.08864502839
116	0.9950738916	0.08783213092
117	0.9950738916	0.08706336469
118	0.9950738916	0.08628820392
119	0.9967159278	0.08532268989
120	0.9967159278	0.08460133181
121	0.9967159278	0.0840201936
122	0.9967159278	0.08314486954
123	0.9983579639	0.08235338831
124	0.9983579639	0.08173331074
125	1	0.08083570724
126	1	0.08013412718
127	1	0.07939686035
128	1	0.07861938371
129	1	0.07818372571
130	1	0.07732632191
131	1	0.07673072319
132	1	0.07615334123
133	1	0.07542141121
134	1	0.07475575989
135	1	0.0740003196
136	1	0.07325317731
137	1	0.07259019704
138	1	0.07216367188
139	1	0.07157887759
140	1	0.0711899147
141	1	0.07061039269
142	1	0.07014967582
143	1	0.06972227013
144	1	0.06908595528
145	1	0.06853793182
146	1	0.06793911252
147	1	0.06745516125
148	1	0.06690140381
149	1	0.06638508488
150	1	0.06587923975
151	1	0.06539162775
152	1	0.06487483701
153	1	0.0641322176
154	1	0.06357246452
155	1	0.06321111279
156	1	0.06261955396
157	1	0.0622308439
158	1	0.06165722503
159	1	0.06106645651
160	1	0.06062739571
161	1	0.06020988315
162	1	0.05977399644
163	1	0.0593687599
164	1	0.05906563446
165	1	0.05854246422
166	1	0.05804318207
167	1	0.05762479657
168	1	0.05712062819
169	1	0.05670373956
170	1	0.05627746997
171	1	0.05593173902
172	1	0.05556857823
173	1	0.05519515924
174	1	0.0548817653
175	1	0.05445882556
176	1	0.05422696042
177	1	0.05387109004
178	1	0.05352151523
179	1	0.05312138896
180	1	0.05276595113
181	1	0.0524020602
182	1	0.05210432687
183	1	0.05182035159
184	1	0.05139497956
185	1	0.05100850277
186	1	0.0507357721
187	1	0.0503718267
188	1	0.05010660315
189	1	0.04983974894
190	1	0.04943820693
191	1	0.04910447283
192	1	0.04879113301
193	1	0.04848882295
194	1	0.04807296576
195	1	0.04777711978
196	1	0.04743557053
197	1	0.04720788339
198	1	0.04688016234
199	1	0.04671373326
200	1	0.04640238656
201	1	0.04615941226
202	1	0.04591834999
203	1	0.04568523174
204	1	0.04539214716
205	1	0.04515487036
206	1	0.04492968715
207	1	0.04459594242
208	1	0.044394416
209	1	0.04411527218
210	1	0.04382729271
211	1	0.04362195626
212	1	0.04344079509
213	1	0.04314008287
214	1	0.04297141275
215	1	0.04273039858
216	1	0.04246298818
217	1	0.042185585
218	1	0.0419535527
219	1	0.04167631888
220	1	0.0414622061
221	1	0.04126855625
222	1	0.04107907097
223	1	0.04088231451
224	1	0.04072765275
225	1	0.04052078173
226	1	0.04017083957
227	1	0.03995129581
228	1	0.03972519065
229	1	0.03954917829
230	1	0.03927722187
231	1	0.03905740089
232	1	0.03887904906
233	1	0.03871103803
234	1	0.03849945508
235	1	0.03832507344
236	1	0.03804505764
237	1	0.0378675124
238	1	0.03769773413
239	1	0.03753767662
240	1	0.03732055129
241	1	0.03711522918
242	1	0.03698813263
243	1	0.03678216886
244	1	0.03663743859
245	1	0.03650780522
246	1	0.03634453165
247	1	0.03616181334
248	1	0.03591500332
249	1	0.03573149672
250	1	0.03557268226
251	1	0.03539770657
252	1	0.0352075829
253	1	0.03509350917
254	1	0.03498204185
255	1	0.03475589164
256	1	0.03456303139
257	1	0.03436653696
258	1	0.03422420033
259	1	0.03409025719
260	1	0.03389955668
261	1	0.03374653793
262	1	0.03359222904
263	1	0.03343350959
264	1	0.03331888862
265	1	0.03315896458
266	1	0.03305407186
267	1	0.03292514856
268	1	0.03270942486
269	1	0.03257539187
270	1	0.03237554925
271	1	0.03223741544
272	1	0.03213646689
273	1	0.0319742846
274	1	0.03185670592
275	1	0.03173035995
276	1	0.03158131401
277	1	0.03146887633
278	1	0.03132066851
279	1	0.0312030507
280	1	0.03110021349
281	1	0.03096475092
282	1	0.03080640775
283	1	0.03064412688
284	1	0.03048954754
285	1	0.03038473351
286	1	0.03023967199
287	1	0.03009310037
288	1	0.02995922322
289	1	0.02986741579
290	1	0.02976348943
291	1	0.02966384384
292	1	0.02957092464
293	1	0.02942962103
294	1	0.02931048185
295	1	0.02919047777
296	1	0.02898612636
297	1	0.02883217859
298	1	0.02870939474
299	1	0.02858496532
300	1	0.02846236214
301	1	0.02836093661
302	1	0.02822829456
303	1	0.02809650613
304	1	0.02802217267
305	1	0.02786337308
306	1	0.02774166749
307	1	0.02765698487
308	1	0.02756783158
309	1	0.02746749942
310	1	0.02737391492
311	1	0.02727687624
312	1	0.02717771207
313	1	0.02710168907
314	1	0.02699254998
315	1	0.02686760067
316	1	0.02677304942
317	1	0.02666003561
318	1	0.02656561626
319	1	0.02646940791
320	1	0.02637235201
321	1	0.02628764762
322	1	0.02617893438
323	1	0.02605220036
324	1	0.0259596707
325	1	0.02587444296
326	1	0.0257843464
327	1	0.0256702402
328	1	0.02558536693
329	1	0.02549924597
330	1	0.02539503207
331	1	0.02530100199
332	1	0.02520300225
333	1	0.02508328962
334	1	0.02499804521
335	1	0.02487744528
336	1	0.02481177903
337	1	0.02470311472
338	1	0.02461972585
339	1	0.02453754242
340	1	0.02443009298
341	1	0.02435321912
342	1	0.024256093
343	1	0.02418826495
344	1	0.02410985264
345	1	0.02403317286
346	1	0.0239417709
347	1	0.0238543281
348	1	0.02376950317
349	1	0.02369825091
350	1	0.02359768371
351	1	0.02349265339
352	1	0.02342733262
353	1	0.0233408284
354	1	0.02324272916
355	1	0.02315108291
356	1	0.02306500513
357	1	0.02296799078
358	1	0.02283449986
359	1	0.02278795442
360	1	0.02269550191
361	1	0.02263078988
362	1	0.02257237873
363	1	0.02246623605
364	1	0.02240438999
365	1	0.0223446747
366	1	0.02226187799
367	1	0.022159137
368	1	0.02211115097
369	1	0.02207032917
370	1	0.02200510026
371	1	0.02195364064
372	1	0.02187883979
373	1	0.02181516392
374	1	0.02173455499
375	1	0.02163870628
376	1	0.02156505974
377	1	0.02149304746
378	1	0.02140210089
379	1	0.02135136651
380	1	0.02126843995
381	1	0.02120333284
382	1	0.02114497473
383	1	0.02106772652
384	1	0.02099976229
385	1	0.02095065336
386	1	0.02089680156
387	1	0.02079953969
388	1	0.02072761341
389	1	0.02066757392
390	1	0.02059652163
391	1	0.02053100327
392	1	0.02048157021
393	1	0.02039854011
394	1	0.02034822161
395	1	0.02028026931
396	1	0.02021112479
397	1	0.02013403213
398	1	0.02006716409
399	1	0.02002453366
400	1	0.01997365663
401	1	0.01989986501
402	1	0.01982862469
403	1	0.01977735796
404	1	0.01971870845
405	1	0.01966016929
406	1	0.01958285723
407	1	0.01951874347
408	1	0.01945702495
409	1	0.01939601113
410	1	0.01933838669
411	1	0.01928610728
412	1	0.01923379004
413	1	0.01916416792
414	1	0.01909814129
415	1	0.01904763232
416	1	0.01901169653
417	1	0.01892560695
418	1	0.01885956162
419	1	0.01879715023
420	1	0.01873892771
421	1	0.01870170688
422	1	0.01864934922
423	1	0.01860861362
424	1	0.01855806878
425	1	0.01850086056
426	1	0.01844495698
427	1	0.01838178809
428	1	0.0183281092
429	1	0.0182778429
430	1	0.01822362732
431	1	0.01817825609
432	1	0.01813377311
433	1	0.01808640014
434	1	0.01803946748
435	1	0.01798734559
436	1	0.01791774566
437	1	0.01787216224
438	1	0.01782651541
439	1	0.01777373688
440	1	0.01771693467
441	1	0.01766281165
442	1	0.01763573739
443	1	0.01759285977
444	1	0.01755404707
445	1	0.01751633948
446	1	0.01745976489
447	1	0.01741585393
448	1	0.01736850576
449	1	0.01731963311
450	1	0.01726592064
451	1	0.01721192736
452	1	0.01716326983
453	1	0.01712964886
454	1	0.0170789959
455	1	0.01703674367
456	1	0.01700822341
457	1	0.0169623667
458	1	0.01690215163
459	1	0.01685857676
460	1	0.01682186757
461	1	0.01678864446
462	1	0.01674492709
463	1	0.01670488738
464	1	0.01664746928
465	1	0.01660144678
466	1	0.01656362264
467	1	0.01650059754
468	1	0.01645026244
469	1	0.01641786336
470	1	0.01633682655
471	1	0.0162755469
472	1	0.0162350526
473	1	0.01620036429
474	1	0.01616209749
475	1	0.01612584693
476	1	0.01608559065
477	1	0.01604374724
478	1	0.01599999692
479	1	0.01595072887
480	1	0.01589956668
481	1	0.01585384579
482	1	0.01581219578
483	1	0.01576880124
484	1	0.01573006396
485	1	0.01569969177
486	1	0.01566282544
487	1	0.01563666338
488	1	0.01559323741
489	1	0.01555887597
490	1	0.01551617688
491	1	0.01547145245
492	1	0.0154399593
493	1	0.0154121988
494	1	0.01537686527
495	1	0.01533397463
496	1	0.01529994631
497	1	0.01527305435
498	1	0.0152488633
499	1	0.015202572
500	1	0.01516885577
501	1	0.01511283485
502	1	0.01506656257
503	1	0.01501819701
504	1	0.014994863
505	1	0.01497034199
506	1	0.0149466459
507	1	0.01491203216
508	1	0.0148735978
509	1	0.01484730109
510	1	0.01480362443
511	1	0.01476910529
512	1	0.01474111184
513	1	0.014710397
514	1	0.0146733895
515	1	0.01463394381
516	1	0.01459294035
517	1	0.0145580534
518	1	0.01452519315
519	1	0.01449427302
520	1	0.01446562376
521	1	0.01442822858
522	1	0.0143885873
523	1	0.01436530724
524	1	0.01433696635
525	1	0.01430175974
526	1	0.01426185122
527	1	0.01423021593
528	1	0.0141973212
529	1	0.0141700396
530	1	0.01413927583
531	1	0.01409790092
532	1	0.01406546457
533	1	0.01404317906
534	1	0.01401926963
535	1	0.01398573434
536	1	0.01395462796
537	1	0.01393133167
538	1	0.01389697491
539	1	0.01387540214
540	1	0.01384031942
541	1	0.01380815555
542	1	0.01378267913
543	1	0.01374069373
544	1	0.01371507879
545	1	0.01369006569
546	1	0.0136532912
547	1	0.01362166285
548	1	0.01359224546
549	1	0.01354801249
550	1	0.01352709019
551	1	0.01349666379
552	1	0.01345519244
553	1	0.01342774143
