iter	Passed	Remaining
0	3	3630
1	5	2632
2	7	2330
3	10	2550
4	12	2433
5	13	2311
6	17	2521
7	19	2423
8	21	2378
9	23	2280
10	24	2222
11	27	2245
12	28	2179
13	30	2120
14	31	2085
15	33	2044
16	34	1996
17	43	2365
18	46	2413
19	50	2463
20	51	2408
21	52	2355
22	54	2307
23	57	2326
24	58	2288
25	62	2354
26	64	2333
27	66	2310
28	67	2274
29	69	2245
30	72	2261
31	74	2247
32	76	2237
33	77	2215
34	79	2189
35	81	2191
36	83	2167
37	84	2138
38	86	2120
39	87	2101
40	89	2099
41	91	2087
42	94	2095
43	95	2084
44	97	2079
45	99	2061
46	100	2044
47	102	2031
48	103	2017
49	105	1997
50	106	1978
51	107	1959
52	108	1941
53	109	1925
54	111	1910
55	112	1895
56	113	1881
57	114	1867
58	116	1858
59	118	1856
60	119	1845
61	122	1847
62	123	1837
63	124	1826
64	126	1819
65	127	1809
66	129	1800
67	130	1790
68	132	1785
69	134	1781
70	135	1773
71	136	1764
72	138	1754
73	139	1745
74	140	1735
75	141	1726
76	143	1716
77	145	1717
78	147	1722
79	149	1714
80	150	1707
81	151	1699
82	154	1708
83	156	1701
84	157	1692
85	158	1683
86	159	1676
87	161	1670
88	162	1668
89	164	1664
90	165	1657
91	167	1650
92	168	1642
93	169	1633
94	170	1625
95	172	1619
96	188	1751
97	189	1743
98	190	1735
99	192	1729
100	193	1723
101	195	1717
102	196	1709
103	197	1701
104	198	1693
105	199	1685
106	202	1693
107	206	1702
108	208	1702
109	210	1700
110	212	1705
111	214	1701
112	215	1693
113	216	1685
114	218	1677
115	219	1670
116	220	1662
117	221	1657
118	222	1650
119	225	1651
120	227	1649
121	228	1646
122	230	1643
123	231	1638
124	233	1631
125	234	1624
126	235	1619
127	236	1614
128	238	1612
129	240	1606
130	241	1599
131	242	1592
132	243	1585
133	244	1578
134	245	1572
135	246	1565
136	247	1559
137	248	1552
138	249	1546
139	250	1540
140	252	1538
141	253	1533
142	254	1527
143	256	1521
144	257	1517
145	258	1511
146	259	1506
147	261	1503
148	262	1500
149	263	1495
150	265	1490
151	266	1487
152	268	1484
153	270	1483
154	271	1481
155	272	1476
156	274	1472
157	275	1467
158	276	1463
159	277	1458
160	279	1454
161	280	1452
162	282	1450
163	284	1448
164	285	1446
165	287	1446
166	289	1442
167	290	1438
168	291	1434
169	293	1431
170	294	1427
171	296	1424
172	297	1422
173	299	1420
174	300	1417
175	302	1414
176	303	1409
177	304	1404
178	305	1399
179	306	1395
180	307	1391
181	308	1388
182	309	1383
183	311	1382
184	313	1382
185	316	1384
186	318	1384
187	320	1382
188	321	1380
189	323	1378
190	325	1377
191	327	1378
192	329	1379
193	332	1382
194	334	1379
195	335	1375
196	337	1373
197	338	1371
198	340	1368
199	341	1366
200	343	1364
201	345	1366
202	347	1363
203	348	1360
204	349	1356
205	351	1354
206	353	1352
207	354	1350
208	356	1348
209	357	1346
210	359	1343
211	360	1339
212	361	1336
213	363	1333
214	364	1331
215	366	1328
216	367	1326
217	368	1323
218	370	1321
219	372	1321
220	375	1322
